Label,X,Y,Block Name,Adjacent Points,RFID:Tag:ID,Point Type,
D6,59.3125,54.4375,2-4,D7;96-A,03:00:01:41:1F,RFID Tag,
D7,53.4375,56.1875,2-3,D6;D8,03:00:01:57:74,RFID Tag,
D8,47.75,59.375,2-3,D7;D9;FC,03:00:01:2A:3D,RFID Tag,
D9,42.5,61.1875,2-1,D8;DA,03:00:03:AB:64,RFID Tag,
DA,36.25,61.375,2-1,D9;DB,03:00:01:84:D2,RFID Tag,
DB,31.1875,59.25,2-1,DA;DC,03:00:02:5E:C6,RFID Tag,
DC,26.875,55.125,2-1,DB;DD,2A:00:6D:99:B7,RFID Tag,
DD,23.75,49.875,2-1,DC;DE,2A:00:6D:8E:5A,RFID Tag,
DE,20.5,44.8125,2-1,DD;DF,2A:00:6D:7F:3F,RFID Tag,
DF,17.1875,40,2-1,DE;E0,03:00:02:0E:59,RFID Tag,
E0,14.875,34.1875,2-1,DF;E1,2A:00:6D:B0:8F,RFID Tag,
E1,14.5,28.875,2-1,E0;E2,2A:00:6D:0A:53,RFID Tag,
E2,16.375,23.625,2-1,E1;E3,03:00:03:6F:A3,RFID Tag,
E3,20.5,19.25,1-1,E2;E4,03:00:02:69:E8,RFID Tag,
E4,25.5,16.875,1-1,E3;E5,03:00:01:DA:73,RFID Tag,
E5,31.25,16.5,1-1,E4;E6,03:00:01:38:33,RFID Tag,
E6,36.875,18.3125,1-1,E5;E7,03:00:00:90:73,RFID Tag,
E7,41.25,22.5,1-1,E6;OE8,03:00:02:14:46,RFID Tag,
OE8,43.625,27.125,1-1,E7;E8,,Orientation,
E8,44,27.875,1-1,OE8;E9,03:00:00:97:DA,RFID Tag,
E9,44.1875,33.5,1-1,E8; EA,03:00:01:6A:C4,RFID Tag,
EA,42.25,39.125,1-1,E9;EB,03:00:00:7A:B1,RFID Tag,
EB,38.1875,43.375,1-1,EA;EC,03:00:02:D9:3C,RFID Tag,
EC,33.375,46.625,1-1,EB;ED,03:00:01:89:15,RFID Tag,
ED,28.5,50,1-1,EC;EE,03:00:01:5D:E2,RFID Tag,
EE,23.5,53.1875,1-1,ED;EF,03:00:01:2C:52,RFID Tag,
EF,18.625,56.75,1-1,EE;F0,03:00:01:93:88,RFID Tag,
F0,13.875,60.3125,1-1,EF;F1,03:00:00:62:6E,RFID Tag,
F1,10.25,65.4375,2-2,F0;F2,03:00:02:C1:1D,RFID Tag,
F2,8.5625,70.625,2-2,F1;F3,2A:00:6D:6B:FE,RFID Tag,
F3,9.4375,76.375,2-2,F2;F4,03:00:00:94:E3,RFID Tag,
F4,12.625,81.75,2-2,F3;F5,03:00:03:9B:E6,RFID Tag,
F5,17.375,85.0625,2-2,F4;F6,03:00:02:2A:B2,RFID Tag,
F6,23,86.75,2-2,F5;F7,03:00:01:E3:49,RFID Tag,
F7,28.875,86.25,2-2,F6;F8,03:00:02:9C:D2,RFID Tag,
F8,33.875,83.25,2-2,F7;F9,03:00:01:9C:B4,RFID Tag,
F9,37.625,78.5,2-2,F8;FA,03:00:03:03:AD,RFID Tag,
FA,39.125,73.125,2-2,F9;FB,03:00:00:78:03,RFID Tag,
FB,40.875,67.625,2-2,FA;FC,03:00:00:5D:69,RFID Tag,
FC,44.375,62.75,2-2,FB;D8,03:00:00:89:1D,RFID Tag,
FD,71,54.375,2-5,96-A;FF;132,03:00:03:5B:F8,RFID Tag,
FF,81.911,55.529,2-5,FD;101,2A:00:6D:17:4E,RFID Tag,
101,93.552,54.774,2-7,FF;103,2A:00:6D:5B:6F,RFID Tag,
103,105.129,54.841,2-9,101;105,2A:00:6D:5D:9F,RFID Tag,
105,79.966,55.22,2-11,103;107,2A:00:6D:5D:C1,RFID Tag,
107,128.997,55.273,2-11,105;109,2A:00:6D:24:C1,RFID Tag,
