Label,X,Y,Block Name,Pass Block Name,Bypass Block Name
SW43,49.54047,58.53463,2-3,2-1,2-2
SW42,51.86649,62.19429,3-16,1-3,U-60;3-16
SW13,52.09035,47.77233,U-59;3-15,U-58;3-14,U-57;3-13
SW12,55.83087,26.78645,U-57;3-13,U-59;3-15,3-8
SW11,5.73687,33.99488,U-51;4-15,U-54;1-12,U-52;4-16
SW21,43.50347,91.33812,U-45;1-8,U-46;1-14,U-47;1-15
SW22,54.8351,91.34823,U-44;1-7,U-33;4-3,U-34;4-4
SW23,75.9422,87.04891,U-34;4-4,1-3,U-44;1-7
SW24,69.12903,83.29647,U-35;1-6,3-4,U-36;1-5
SW34,77.19195,81.63995,U-36;1-5,3-3,U-37;4-2
SW33,85.82914,79.71399,U-37;4-2,U-38;5-8,3-1;6-8
SW32,94.42582,77.65328,U-38;5-8,U-39;5-7,U-42;5-5
SW31,102.88166,75.12243,U-39;5-7,U-41;5-6,U-40;7-1
SW64,139.69004,81.47157,U-27,6-4,6-3
SW74,148.31004,82.99227,U-26;8-15,U-27,6-2
SW73,141.44865,87.23499,U-25;8-16,U-21;8-9,1-4
SW72,162.62366,90.9982,U-21;8-9,U-25;8-16,U-22;8-14
SW71,173.82591,91.35938,U-20;8-10,U-18;8-12,U-19;8-11
SW81,210.6934,32.741,U-16;7-5,U-13;7-8,U-14;8-5
SW82,161.03171,26.5843,U-9;8-1,U-6;5-4,U-8;8-3
SW83,164.96577,47.86199,U-8;8-3,U-10;8-2,U-9;8-1
SW52,167.76389,58.88137,2-14,2-15,2-16
SW51,165.03906,62.59876,U-61;8-4,1-4,U-26;8-15
SW84,140.59927,55.03076,2-12,2-10,2-11
SW61,135.1931,65.81367,5-3,U-5;5-13,5-14
SW62,127.20665,64.3895,U-5;5-13,U-4;5-2,4-10;5-1
SW63,118.73043,62.10422,U-4;5-2,4-12,4-9
SW14,76.60114,54.87458,2-5,2-6,2-7
SW41,79.22876,64.39986,U-1;3-6,5-15,4-10;5-1
